code,name,academicyear,course,semester,sem_start,sem_end,lecturer_fname,lecturer_lname,lecturer_username,lecturer_email
CS110,Programming I,1,Computer Science,1718TB1,2017-10-01,2018-01-15,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
CS110,Programming I,1,Computer Science,1819TB1,2018-10-01,2019-01-15,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
CS111,Programming II,1,Computer Science,1718TB1,2017-10-01,2018-01-15,Isha,Sharma,ISharma,I.Sharma@swansea.ac.uk
CS111,Programming II,1,Computer Science,1819TB1,2018-10-01,2019-01-15,Isha,Sharma,ISharma,I.Sharma@swansea.ac.uk
CS120,CS Principles,1,Computer Science,1718TB2,2018-02-01,2018-05-31,Gabriela,Ford,GFord,G.Ford@swansea.ac.uk
CS120,CS Principles,1,Computer Science,1819TB2,2019-02-01,2019-05-31,Gabriela,Ford,GFord,G.Ford@swansea.ac.uk
CS130,What is a computer?,1,Computer Science,1718TB2,2018-02-01,2018-05-31,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
CS130,What is a computer?,1,Computer Science,1819TB2,2019-02-01,2019-05-31,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
CS210,Databases,2,Computer Science,1819TB1,2018-10-01,2019-01-15,Isha,Sharma,ISharma,I.Sharma@swansea.ac.uk
CS210,Databases,2,Computer Science,1920TB1,2019-10-01,2020-01-15,Isha,Sharma,ISharma,I.Sharma@swansea.ac.uk
CS250,Theory,2,Computer Science,1819TB1,2018-10-01,2019-01-15,Gabriela,Ford,GFord,G.Ford@swansea.ac.uk
CS250,Theory,2,Computer Science,1920TB1,2019-10-01,2020-01-15,Gabriela,Ford,GFord,G.Ford@swansea.ac.uk
CS220,Technical writing,2,Computer Science,1819TB2,2019-02-01,2019-05-31,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
CS220,Technical writing,2,Computer Science,1920TB2,2020-02-01,2020-05-31,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
CS275,Robots,2,Computer Science,1819TB2,2019-02-01,2019-05-31,Isha,Sharma,ISharma,I.Sharma@swansea.ac.uk
CS275,Robots,2,Computer Science,1920TB2,2020-02-01,2020-05-31,Isha,Sharma,ISharma,I.Sharma@swansea.ac.uk
CS370,Visualization,3,Computer Science,1920TB1,2019-10-01,2020-01-15,Gabriela,Ford,GFord,G.Ford@swansea.ac.uk
CS370,Visualization,3,Computer Science,2021TB1,2020-10-01,2021-01-15,Gabriela,Ford,GFord,G.Ford@swansea.ac.uk
CS320,Machine learning,3,Computer Science,1920TB1,2019-10-01,2020-01-15,Daniele,Garrison,DGarrison,D.Garrison@swansea.ac.uk
