firstname,lastname,email,username,phonenumber,studentnumber,course
Daniele,Garrison,D.Garrison@swansea.ac.uk,DGarrison,07549-889808,null,null
Isha,Sharma,I.Sharma@swansea.ac.uk,ISharma,07549-889809,null,null
Gabriela,Ford,G.Ford@swansea.ac.uk,GFord,07549-889810,null,null
Huxley,Tillman,H.Tillman@swansea.ac.uk,HTillman,07549-889811,null,null
Laurence,Sparrow,L.Sparrow@swansea.ac.uk,LSparrow,07549-889812,null,null
Charlotte,Taylor,C.Taylor@swansea.ac.uk,CTaylor,07549-889813,null,null
Leroy,Ellwood,100021@swansea.ac.uk,LEllwood,01953-544964,100021,Computer Science
Rosemary,Fry,100027@swansea.ac.uk,RFry,07379-883859,100027,Computer Science
Nora,Shepherd,100034@swansea.ac.uk,NShepherd,07418-573684,100034,Computer Science
Tamar,Easton,100075@swansea.ac.uk,TEaston,01949-448467,100075,Computer Science
Kaitlin,Blake,100043@swansea.ac.uk,KBlake,01949-448468,100043,History
Ryder,Salt,100033@swansea.ac.uk,RSalt,01949-448469,100033,History
Kaylem,Mendez,100094@swansea.ac.uk,KMendez,01949-448470,100094,History
Taya,Stanley,100019@swansea.ac.uk,TStanley,01949-448471,100019,History
Mekhi,Hood,100082@swansea.ac.uk,MHood,01949-448472,100082,Computer Science
Gabriella,Cope,100099@swansea.ac.uk,GCope,01949-448473,100099,Computer Science
Darla,Copeland,100081@swansea.ac.uk,DCopeland,01949-448474,100081,Computer Science
Ida,Blundell,100069@swansea.ac.uk,IBlundell,01949-448475,100069,Computer Science
Cooper,Foreman,100002@swansea.ac.uk,CForeman,01949-448476,100002,History
Delilah,Moran,100026@swansea.ac.uk,DMoran,01949-448477,100026,History
David,Mcpherson,100018@swansea.ac.uk,DMcpherson,01949-448478,100018,History
Eloisa,Beach,100035@swansea.ac.uk,EBeach,01949-448479,100035,History
